Ns;Groupes;N;Lcal1;Wcal1;Lcallg;Wcallg;Hrad;Hinterad;Dprox;Dapex;Wrdle;LinteradG;Lrad;LinteradD;WIbr1;WIbr2;LIbr2;WIIbr1;LIIbr1;WIIbr2;LIIbr2;WIIbr3;LIIbr3;WIIbr4;LIIbr4;WIIbr5;LIIbr5;WIIbr6;LIIbr6;WIIbr7;LIIbr7;WIIbr8;LIIbr8;W1Pi1;L1Pi1;W1Pi2;L1Pi2;W1Pi3;L1Pi3;W1Pi4;L1Pi4;W1Pi5;L1Pi5
EWS-EM-Nv243;5;308_1_243;0,70;2,00;1,50;1,70;8,20;9,30;9,70;0,90;5,40;2,30;1,50;2,50;4,20;5,90;4,00;4,50;1,10;4,30;3,00;4,30;1,30;3,90;1,40;3,80;2,10;3,90;2,50;3,70;1,05;3,70;1,30;1,40;1,60;1,35;1,25;1,20;1,20;1,65;1,05;1,65;1,10
EWS-EM-Nv113;5;301_1_113;1,10;2,00;1,30;1,70;6,30;8,10;8,50;2,30;5,60;2,00;1,50;2,20;4,60;6,30;4,20;4,00;1,50;3,90;2,80;3,80;1,20;3,70;1,30;3,70;2,30;3,70;2,00;3,60;2,20;3,60;2,00;1,25;1,35;1,35;1,05;1,25;1,05;1,25;0,85;1,10;0,90
EWS-EM-Nv563;5;292_2_563;0,70;1,70;1,30;1,10;6,90;7,50;7,80;1,70;4,20;2,40;2,00;2,20;3,80;5,00;4,50;3,90;1,50;3,50;2,50;3,60;1,20;3,50;1,50;3,40;2,20;3,40;1,20;3,50;1,30;3,40;2,00;1,05;1,30;1,15;1,25;1,40;1,20;1,40;1,25;1,45;1,30
EWS-EM-Nv561;5;292_2_561;1,20;2,00;1,70;1,80;9,40;10,20;9,50;2,40;5,50;2,50;1,80;2,30;4,60;6,20;4,30;4,90;1,30;4,00;3,40;4,10;1,10;3,90;1,30;4,00;2,60;4,10;2,20;3,90;2,20;4,00;2,30;1,05;1,60;1,15;1,45;1,20;1,30;1,35;1,20;1,35;1,10
EWS-EM-Nv562;5;292_2_562;0,60;1,60;1,30;1,20;6,90;7,20;8,40;1,60;5,20;2,00;1,70;2,30;3,80;5,10;4,60;3,30;1,30;3,80;3,00;3,50;1,10;3,40;1,30;3,40;2,50;3,30;1,90;3,20;2,00;3,00;2,00;1,10;1,55;1,30;1,40;1,35;1,25;1,50;1,15;1,45;1,10
EWS-EM-Nv118;5;301_1_118;0,70;1,40;1,20;1,10;7,50;8,10;8,70;1,90;5,20;2,50;1,30;2,30;4,40;5,90;4,60;3,90;1,40;3,80;3,30;3,90;1,40;3,60;1,50;3,50;2,20;3,60;2,30;3,40;1,90;3,50;1,90;1,25;1,50;1,35;1,35;1,40;1,15;1,40;1,10;1,45;1,05
EWS-EM-Nv114;5;301_1_114;0,70;1,60;1,50;1,10;7,50;8,30;9,90;1,60;5,20;2,20;1,50;2,50;4,20;5,90;4,50;4,20;1,40;4,30;3,00;3,90;1,10;3,70;1,40;3,80;2,00;3,50;2,00;3,50;2,00;3,40;1,80;1,25;1,50;1,20;1,45;1,35;1,40;1,40;1,25;1,30;1,25
EWS-EM-Nv227;5;286_1_227;0,90;1,90;1,50;1,70;6,90;7,50;8,90;1,50;5,00;2,30;1,90;2,30;4,70;6,00;4,70;4,00;1,50;3,70;2,90;3,70;1,50;3,50;1,40;3,50;2,40;3,60;2,20;3,50;1,40;3,60;1,20;1,30;1,40;1,15;1,30;1,25;1,45;1,30;1,40;1,35;1,10
1410_CO1;6;1410;0,60;1,20;1,20;0,80;3,60;4,10;4,30;1,90;2,90;1,50;0,50;1,40;2,70;3,40;2,70;2,10;1,05;2,70;1,70;2,40;0,70;2,40;1,05;2,20;1,90;2,20;1,05;2,30;1,20;2,30;1,30;0,80;0,90;0,75;0,70;0,90;0,65;0,85;0,65;0,60;0,75
Nv513;6;265_2_513;0,70;1,10;1,50;0,90;5,50;5,70;5,90;1,70;3,40;1,30;0,70;1,50;2,50;3,60;3,20;2,50;0,90;2,60;2,40;2,60;0,90;2,50;1,50;2,40;0,70;2,20;1,05;2,30;1,05;2,20;1,20;0,70;1,05;0,80;0,90;1,05;0,75;0,90;0,85;1,10;0,80
